input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
weggegooid      | en              | 3.17879891396   <-> 2.519998312     || 1
en              | zich            | 7.01548671722   <-> 7.71973562241   || 0
zich            | terstond        | 12.2508478165   <-> 12.1290435791   || 1
terstond        | weer            | 5.9180688858    <-> 5.17047595978   || 1
weer            | in              | 2.79934883118   <-> 2.63698172569   || 1
in              | de              | 1.20796501637   <-> 1.18847799301   || 1
de              | alcohol         | 12.1558036804   <-> 12.6789808273   || 0
alcohol         | gestort         | 7.92436790466   <-> 8.61856079102   || 0
gestort         | </s>            | 0.246144175529  <-> 0.357058823109  || 0
<s>             | dat             | 3.88452243805   <-> 3.87029528618   || 1
dat             | had             | 4.90071868896   <-> 4.635597229     || 1
had             | hij             | 3.4544467926    <-> 3.29808139801   || 1
hij             | twee            | 6.29594039917   <-> 6.056432724     || 1
twee            | jaar            | 1.91747045517   <-> 1.75574362278   || 1
jaar            | eerder          | 4.3439078331    <-> 4.65062427521   || 0
eerder          | al              | 3.33903312683   <-> 3.51739788055   || 0
al              | eens            | 4.1841711998    <-> 3.85725474358   || 1
eens            | gedaan          | 4.80063915253   <-> 5.4743719101    || 0
gedaan          | op              | 3.45281624794   <-> 3.75142097473   || 0
op              | de              | 1.11041927338   <-> 1.28360545635   || 0
de              | US              | 7.09746456146   <-> 7.28376722336   || 0
US              | Open            | 0.350318878889  <-> 0.116618983448  || 1
Open            | toen            | 5.74639701843   <-> 6.07579946518   || 0
toen            | hij             | 2.21145629883   <-> 1.8167090416    || 1
hij             | na              | 4.60616016388   <-> 4.98576021194   || 0
na              | negen           | 5.8731470108    <-> 6.61436271667   || 0
negen           | holes           | 12.3656463623   <-> 11.2327623367   || 1
holes           | in              | 2.79927015305   <-> 2.7249546051    || 1
in              | de              | 1.44231593609   <-> 1.22327005863   || 1
de              | slotronde       | 8.0811958313    <-> 7.47147989273   || 1
slotronde       | het             | 5.45829105377   <-> 5.29339504242   || 1
het             | plotseling      | 10.5069179535   <-> 11.5259513855   || 0
plotseling      | op              | 3.23603200912   <-> 4.02398443222   || 0
op              | zijn            | 3.7184855938    <-> 3.70310783386   || 1
zijn            | heupen          | 7.46268463135   <-> 7.67869377136   || 0
heupen          | kreeg           | 4.52146577835   <-> 4.35172271729   || 1
kreeg           | tussen          | 8.41572380066   <-> 8.39345836639   || 1
tussen          | de              | 1.27085351944   <-> 1.25900185108   || 1
de              | toeschouwers    | 8.51615524292   <-> 6.86127281189   || 1
toeschouwers    | stapte          | 9.69143867493   <-> 9.40470123291   || 1
stapte          | en              | 2.99391198158   <-> 3.24147295952   || 0
en              | verdween        | 7.52760410309   <-> 7.42411518097   || 1
verdween        | </s>            | 2.59762048721   <-> 2.03718805313   || 1
<s>             | zonder          | 7.39384889603   <-> 7.0182967186    || 1
zonder          | zijn            | 4.02675008774   <-> 4.33856582642   || 0
zijn            | <UNK>           | 2.35862803459   <-> 2.22352695465   || 1
<UNK>           | of              | 6.17774581909   <-> 6.00133895874   || 1
of              | <UNK>           | 1.95693707466   <-> 1.74695122242   || 1
<UNK>           | te              | 4.69610643387   <-> 4.77876663208   || 0
te              | verwittigen     | 8.43837356567   <-> 9.51575565338   || 0
verwittigen     | </s>            | 1.71516895294   <-> 1.28730595112   || 1
<s>             | dit             | 5.61976194382   <-> 5.47634267807   || 1
dit             | jaar            | 2.54640436172   <-> 1.77097296715   || 1
jaar            | was             | 2.38813638687   <-> 2.64426970482   || 0
was             | <UNK>           | 4.14042663574   <-> 3.89050507545   || 1
<UNK>           | het             | 3.36621260643   <-> 3.75694894791   || 0
het             | toernooi        | 9.4616394043    <-> 8.90188980103   || 1
toernooi        | nochtans        | 8.38395690918   <-> 8.01179885864   || 1
nochtans        | schitterend     | 8.90634250641   <-> 8.95461463928   || 0
schitterend     | begonnen        | 6.75879001617   <-> 7.41686201096   || 0
begonnen        | met             | 2.9427857399    <-> 3.0342965126    || 0
met             | een             | 1.90242099762   <-> 1.88616299629   || 1
een             | eerste          | 5.43475151062   <-> 5.221367836     || 1
eerste          | rondje          | 9.66013908386   <-> 9.37110900879   || 1
rondje          | van             | 3.00939035416   <-> 2.86633062363   || 1
van             | acht-en         | 5.98291683197   <-> 6.30762577057   || 0
acht-en         | zestig          | 2.59283542633   <-> 2.78704786301   || 0
zestig          | komma           | 1.46818470955   <-> 1.98100042343   || 0
komma           | dat             | 7.88718223572   <-> 6.99673843384   || 1
dat             | hem             | 7.67666769028   <-> 5.82836055756   || 1
hem             | op              | 3.29011082649   <-> 3.26564264297   || 1
op              | een             | 2.36937665939   <-> 2.37061214447   || 0
een             | gedeelde        | 7.44395208359   <-> 7.23986053467   || 1
gedeelde        | tweede          | 5.26741886139   <-> 4.011698246     || 1
tweede          | plaats          | 2.22481417656   <-> 1.89828574657   || 1
plaats          | zette           | 6.50735092163   <-> 5.75238180161   || 1
zette           | </s>            | 0.316989898682  <-> 0.554567873478  || 0
<s>             | maar            | 3.85992145538   <-> 4.04853773117   || 0
maar            | de              | 1.84593355656   <-> 1.83016693592   || 1
de              | duivel          | 9.56439304352   <-> 9.58811569214   || 0
duivel          | in              | 3.48107933998   <-> 3.64744234085   || 0
in              | <UNK>           | 3.14038658142   <-> 3.1959066391    || 0
<UNK>           | won             | 5.30498790741   <-> 5.68787097931   || 0
won             | het             | 3.356508255     <-> 3.69789719582   || 0
het             | alweer          | 7.66455745697   <-> 8.15371608734   || 0
alweer          | van             | 3.64600849152   <-> 3.68772673607   || 0
van             | de              | 1.22273981571   <-> 1.31575834751   || 0
de              | <UNK>           | 2.16160535812   <-> 2.15576195717   || 1
<UNK>           | </s>            | 0.964208722115  <-> 1.14024460316   || 0
<s>             | de              | 1.70443046093   <-> 1.91769242287   || 0
de              | gevolgen        | 8.89824485779   <-> 8.54255104065   || 1
gevolgen        | vallen          | 9.09222984314   <-> 8.98686695099   || 1
vallen          | te              | 5.62007141113   <-> 6.18846654892   || 0
te              | vrezen          | 5.16465616226   <-> 5.33922243118   || 0
vrezen          | </s>            | 1.42272722721   <-> 2.45542812347   || 0
<s>             | <UNK>           | 3.39095401764   <-> 3.06791830063   || 1
<UNK>           | is              | 2.92183232307   <-> 3.10222482681   || 0
is              | een             | 2.31078314781   <-> 2.31876730919   || 0
een             | van             | 2.99082040787   <-> 3.68633031845   || 0
van             | de              | 0.57575160265   <-> 0.822503328323  || 0
de              | mensen          | 5.94513988495   <-> 6.35909318924   || 0
mensen          | die             | 1.19961965084   <-> 1.64737784863   || 0
die             | als             | 5.06656312943   <-> 4.93756866455   || 1
als             | hen             | 7.73858165741   <-> 7.68510246277   || 1
hen             | naar            | 4.74322795868   <-> 4.73034763336   || 1
naar            | hun             | 2.33222961426   <-> 3.58622479439   || 0
hun             | favoriete       | 6.48809146881   <-> 5.97098493576   || 1
favoriete       | drankje         | 11.8889055252   <-> 12.209769249    || 0
drankje         | gevraagd        | 8.57109069824   <-> 8.94394493103   || 0
gevraagd        | wordt           | 4.64657735825   <-> 4.93791341782   || 0
wordt           | antwoorden      | 11.8853034973   <-> 11.8152523041   || 1
antwoorden      | </s>            | 0.717596650124  <-> 0.592772185802  || 1
<s>             | het             | 2.65709543228   <-> 2.87165737152   || 0
het             | volgende        | 7.99965333939   <-> 8.50328063965   || 0
volgende        | </s>            | 8.190076828     <-> 5.29020690918   || 1
<s>             | de              | 1.98447704315   <-> 2.20717597008   || 0
de              | </s>            | 10.2576313019   <-> 9.93791484833   || 1
<s>             | Amerikaan       | 12.7213573456   <-> 12.3460731506   || 1
Amerikaan       | <UNK>           | 2.15564513206   <-> 2.40484547615   || 0
<UNK>           | <UNK>           | 1.67557966709   <-> 1.643273592     || 1
<UNK>           | altijd          | 9.21899700165   <-> 9.14682579041   || 1
altijd          | goed            | 6.41391801834   <-> 6.54262638092   || 0
goed            | voor            | 2.19234752655   <-> 2.71590280533   || 0
voor            | een             | 2.54251813889   <-> 2.38770294189   || 1
een             | sterke          | 6.23719358444   <-> 6.10081768036   || 1
sterke          | quote           | 10.7142801285   <-> 10.7135620117   || 1
quote           | kreeg           | 9.69414520264   <-> 8.56700611115   || 1
kreeg           | na              | 6.24577713013   <-> 6.64923143387   || 0
na              | een             | 1.61740708351   <-> 1.64234185219   || 0
een             | <UNK>           | 2.70531105995   <-> 2.44756674767   || 1
<UNK>           | in              | 3.18350887299   <-> 2.9656932354    || 1
in              | de              | 1.13105249405   <-> 1.27403664589   || 0
de              | US              | 7.79920482635   <-> 7.23520183563   || 1
US              | <UNK>           | 2.0379524231    <-> 4.49321556091   || 0
<UNK>           | een             | 2.01812434196   <-> 2.70923876762   || 0
een             | microfoon       | 10.0100946426   <-> 9.60919475555   || 1
microfoon       | onder           | 5.64077425003   <-> 6.07388401031   || 0
onder           | de              | 1.61472809315   <-> 1.65267395973   || 0
de              | neus            | 4.47021913528   <-> 5.95599269867   || 0
neus            | geduwd          | 7.84617853165   <-> 9.39797878265   || 0
geduwd          | en              | 2.75167560577   <-> 2.32535266876   || 1
en              | verwoordde      | 12.4489784241   <-> 13.08644104     || 0
verwoordde      | het             | 2.5437939167    <-> 2.32268428802   || 1
het             | gevoel          | 6.18777990341   <-> 5.91728591919   || 1
gevoel          | dat             | 0.952955722809  <-> 1.31045234203   || 0
dat             | vele            | 7.84551668167   <-> 8.44464492798   || 0
vele            | <UNK>           | 2.2093129158    <-> 2.34840464592   || 0
<UNK>           | kennen          | 9.46864414215   <-> 9.37863731384   || 1
kennen          | </s>            | 1.04044806957   <-> 1.04250884056   || 0
<s>             | voor            | 5.13647842407   <-> 4.83388376236   || 1
voor            | spelers         | 10.0834684372   <-> 9.31308460236   || 1
spelers         | als             | 4.22070598602   <-> 4.48579692841   || 0
als             | ik              | 4.10639858246   <-> 3.54534673691   || 1
ik              | lijkt           | 7.94878578186   <-> 8.23470973969   || 0
