input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
John            | <UNK>           | 1.32665932178   <-> 1.4268835783    || 0
<UNK>           | wij             | 10.7818470001   <-> 9.25226306915   || 1
wij             | hebben          | 5.17237901688   <-> 5.87586545944   || 0
hebben          | u               | 7.15306186676   <-> 6.90885353088   || 1
u               | al              | 3.48433995247   <-> 3.7038667202    || 0
al              | meermaals       | 6.19983005524   <-> 6.92352676392   || 0
meermaals       | over            | 4.69108486176   <-> 4.78766536713   || 0
over            | hem             | 5.0232167244    <-> 5.3216085434    || 0
hem             | verteld         | 5.04854154587   <-> 6.64946651459   || 0
verteld         | </s>            | 0.396373212337  <-> 0.583839058876  || 0
<s>             | een             | 3.80447864532   <-> 3.84019565582   || 0
een             | <UNK>           | 2.29247808456   <-> 2.06871843338   || 1
<UNK>           | buiten          | 8.65308570862   <-> 8.99772167206   || 0
buiten          | categorie       | 11.8470964432   <-> 10.6631479263   || 1
categorie       | die             | 3.78879547119   <-> 4.56702852249   || 0
die             | in              | 3.3577299118    <-> 3.13988447189   || 1
in              | negentien       | 3.02994680405   <-> 3.3450088501    || 0
negentien       | honderd         | 0.00303546362557 <-> 0.0148631120101 || 0
honderd         | één-en        | 2.91328930855   <-> 2.7685520649    || 1
één-en        | negentig        | 0.634395182133  <-> 0.606856763363  || 1
negentig        | door            | 4.95917034149   <-> 4.54033946991   || 1
door            | de              | 1.27548992634   <-> 1.14596009254   || 1
de              | vele            | 6.94656896591   <-> 7.04790830612   || 0
vele            | forfaits        | 11.0799674988   <-> 11.5864048004   || 0
forfaits        | per             | 6.95344686508   <-> 8.43981266022   || 0
per             | ongeluk         | 2.64260935783   <-> 3.76119709015   || 0
ongeluk         | in              | 2.77039265633   <-> 2.67989373207   || 1
in              | de              | 1.28745853901   <-> 1.26195800304   || 1
de              | <UNK>           | 2.46996998787   <-> 2.21578502655   || 1
<UNK>           | van             | 2.26697993279   <-> 2.34864068031   || 0
van             | de              | 1.2275493145    <-> 1.15013897419   || 1
de              | US              | 8.149933815     <-> 7.39842271805   || 1
US              | <UNK>           | 1.1678879261    <-> 4.12780427933   || 0
<UNK>           | op              | 4.16357707977   <-> 4.22181606293   || 0
op              | <UNK>           | 3.27092504501   <-> 3.35383462906   || 0
<UNK>           | <UNK>           | 3.24679207802   <-> 3.08171963692   || 1
<UNK>           | geraakte        | 8.52487277985   <-> 8.04847240448   || 1
geraakte        | </s>            | 1.63728797436   <-> 1.35470235348   || 1
<s>             | <UNK>           | 3.07676267624   <-> 2.97356796265   || 1
<UNK>           | pas             | 8.47177791595   <-> 8.52472496033   || 0
pas             | in              | 2.51286482811   <-> 2.17223381996   || 1
in              | extremis        | 7.93750047684   <-> 7.79740762711   || 1
extremis        | opgeroepen      | 11.231092453    <-> 10.831653595    || 1
opgeroepen      | kwam            | 6.21299171448   <-> 6.85746669769   || 0
kwam            | net             | 7.12570858002   <-> 6.66915464401   || 1
net             | op              | 3.19193744659   <-> 2.77508497238   || 1
op              | tijd            | 6.36824512482   <-> 6.64913272858   || 0
tijd            | in              | 2.82069635391   <-> 2.94796085358   || 0
in              | Indianapolis    | 10.182806015    <-> 9.64244937897   || 1
Indianapolis    | aan             | 4.93171262741   <-> 4.55938863754   || 1
aan             | om              | 4.68415594101   <-> 5.12569189072   || 0
om              | van             | 4.56819248199   <-> 4.73603630066   || 0
van             | start           | 7.2452788353    <-> 6.18879270554   || 1
start           | te              | 0.768207848072  <-> 0.661926746368  || 1
te              | kunnen          | 4.45862865448   <-> 4.95714092255   || 0
kunnen          | gaan            | 2.80636954308   <-> 3.03797221184   || 0
gaan            | in              | 3.61249661446   <-> 3.88849020004   || 0
in              | de              | 1.11774253845   <-> 1.10015821457   || 1
de              | eerste          | 3.16178965569   <-> 3.28498458862   || 0
eerste          | ronde           | 1.76835012436   <-> 1.55263102055   || 1
ronde           | moest           | 9.14331531525   <-> 9.10866546631   || 1
moest           | clubs           | 10.9647054672   <-> 10.9852800369   || 0
clubs           | en              | 3.34271621704   <-> 3.43656921387   || 0
en              | een             | 4.07574987411   <-> 3.57011079788   || 1
een             | <UNK>           | 2.32077789307   <-> 1.98302042484   || 1
