input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
Cup             | </s>            | 1.73332965374   <-> 1.40566825867   || 1
<s>             | de              | 1.76283049583   <-> 1.81081914902   || 0
de              | tussenstand     | 10.2051372528   <-> 10.1349096298   || 1
tussenstand     | is              | 2.85970973969   <-> 3.2249455452    || 0
is              | weliswaar       | 7.39038467407   <-> 7.04186105728   || 1
weliswaar       | van             | 4.45040130615   <-> 4.45425891876   || 0
van             | drie-en         | 6.45058679581   <-> 5.9266576767    || 1
drie-en         | twintig         | 0.859039306641  <-> 1.05808329582   || 0
twintig         | tot             | 1.2110594511    <-> 1.1507447958    || 1
tot             | zeven           | 3.70060253143   <-> 3.81970310211   || 0
zeven           | voor            | 5.27874040604   <-> 5.13547420502   || 1
voor            | de              | 1.09124565125   <-> 1.40799546242   || 0
de              | Amerikanen      | 7.67109012604   <-> 7.5050535202    || 1
Amerikanen      | maar            | 4.25493764877   <-> 3.77575159073   || 1
maar            | </s>            | 5.78089809418   <-> 5.8621172905    || 0
<s>             | Europa          | 8.23277568817   <-> 7.17750740051   || 1
Europa          | is              | 2.31405997276   <-> 2.43207001686   || 0
is              | de              | 2.49013400078   <-> 2.71923971176   || 0
de              | kloof           | 6.55476570129   <-> 6.95089435577   || 0
kloof           | langzaam        | 11.025604248    <-> 10.9252758026   || 1
langzaam        | maar            | 3.81095600128   <-> 3.75336313248   || 1
maar            | zeker           | 6.43137788773   <-> 5.82060241699   || 1
zeker           | aan             | 4.94858074188   <-> 5.52682781219   || 0
aan             | het             | 2.07671070099   <-> 1.95023906231   || 1
het             | dichten         | 11.2099409103   <-> 9.24882602692   || 1
dichten         | </s>            | 1.23925876617   <-> 1.46611499786   || 0
<s>             | met             | 4.84860897064   <-> 5.03548955917   || 0
met             | een             | 1.98389542103   <-> 2.33050632477   || 0
een             | beetje          | 5.95875787735   <-> 4.67135620117   || 1
beetje          | geluk           | 7.8748755455    <-> 7.20114326477   || 1
geluk           | hebben          | 4.69779968262   <-> 5.34263420105   || 0
hebben          | we              | 1.58236217499   <-> 0.974291980267  || 1
we              | ze              | 5.63727521896   <-> 5.65889835358   || 0
ze              | in              | 3.40616178513   <-> 3.83731603622   || 0
in              | twee            | 4.60661268234   <-> 4.7917304039    || 0
twee            | duizend         | 0.54105079174   <-> 0.628601968288  || 0
duizend         | negen-en        | 7.93159627914   <-> 8.49938583374   || 0
negen-en        | twintig         | 1.52291762829   <-> 1.55714023113   || 0
twintig         | te              | 5.25222301483   <-> 5.60902118683   || 0
te              | pakken          | 5.85845565796   <-> 5.46938753128   || 1
pakken          | </s>            | 0.694107174873  <-> 0.526045978069  || 1
<s>             | op              | 4.19731664658   <-> 4.21737575531   || 0
op              | drie-en         | 6.32561969757   <-> 5.49207448959   || 1
drie-en         | twintig         | 0.533688485622  <-> 0.530574858189  || 1
twintig         | september       | 2.54884290695   <-> 2.82275867462   || 0
september       | beginnen        | 7.58824300766   <-> 7.8819026947    || 0
beginnen        | we              | 2.36427760124   <-> 2.03214406967   || 1
we              | eraan           | 7.19912385941   <-> 7.71405601501   || 0
eraan           | deze            | 8.29316234589   <-> 7.55323076248   || 1
deze            | keer            | 3.13333010674   <-> 4.23410987854   || 0
keer            | op              | 3.15335607529   <-> 3.04233169556   || 1
op              | The             | 9.33898830414   <-> 8.25838565826   || 1
The             | <UNK>           | 1.45937001705   <-> 1.16975498199   || 1
<UNK>           | Country         | 11.8760957718   <-> 10.8634052277   || 1
Country         | </s>            | 1.52824819088   <-> 1.34367692471   || 1
<s>             | club            | 7.88531684875   <-> 9.16096591949   || 0
club            | in              | 3.45579123497   <-> 4.48634147644   || 0
in              | de              | 1.54455208778   <-> 1.90151560307   || 0
de              | staat           | 7.05175018311   <-> 7.66464138031   || 0
staat           | Massachusetts   | 12.9432296753   <-> 11.6719417572   || 1
Massachusetts   | </s>            | 1.76423847675   <-> 1.89197862148   || 0
<s>             | <UNK>           | 3.04267835617   <-> 3.08212852478   || 0
<UNK>           | we              | 7.09382724762   <-> 7.54407691956   || 0
we              | de              | 3.95452833176   <-> 4.19031333923   || 0
de              | woorden         | 7.9264831543    <-> 7.96810054779   || 0
woorden         | van             | 1.6329267025    <-> 1.19283080101   || 1
van             | Ben             | 9.58270454407   <-> 8.07567596436   || 1
Ben             | <UNK>           | 1.54405641556   <-> 1.05478167534   || 1
<UNK>           | </s>            | 1.46196353436   <-> 1.5586026907    || 0
<s>             | ik              | 3.30787563324   <-> 3.50507831573   || 0
ik              | speel           | 6.33719873428   <-> 6.18440151215   || 1
speel           | soms            | 6.34093141556   <-> 6.20741033554   || 1
soms            | met             | 3.95888781548   <-> 3.42931246758   || 1
met             | vrienden        | 7.29033470154   <-> 6.41488981247   || 1
vrienden        | maar            | 3.93581199646   <-> 3.60201120377   || 1
maar            | nooit           | 6.61632633209   <-> 5.51609659195   || 1
nooit           | vriendschappelijk | 12.9559631348   <-> 13.3863363266   || 0
vriendschappelijk | </s>            | 1.46106934547   <-> 1.64312565327   || 0
<s>             | dat             | 3.53288578987   <-> 4.01790046692   || 0
dat             | is              | 1.65541160107   <-> 1.5145727396    || 1
is              | de              | 3.05001211166   <-> 3.47907590866   || 0
de              | enige           | 3.85522270203   <-> 3.10424971581   || 1
enige           | juiste          | 8.41250228882   <-> 7.48279094696   || 1
juiste          | attitude        | 9.80501461029   <-> 8.52569389343   || 1
attitude        | </s>            | 0.85851174593   <-> 1.04509699345   || 0
<s>             | golf            | 12.5627336502   <-> 12.1064071655   || 1
golf            | is              | 2.63012981415   <-> 2.27952456474   || 1
is              | niet            | 3.02168560028   <-> 2.72635865211   || 1
niet            | om              | 4.99482345581   <-> 5.87317562103   || 0
om              | te              | 2.91962242126   <-> 2.56249713898   || 1
te              | lachen          | 5.31541252136   <-> 5.08676433563   || 1
lachen          | </s>            | 0.549311876297  <-> 0.75616812706   || 0
<s>             | een             | 3.71859550476   <-> 3.82102179527   || 0
een             | wimpel          | 13.6722917557   <-> 14.8688058853   || 0
wimpel          | voor            | 3.35346531868   <-> 3.30073547363   || 1
voor            | Gent            | 8.6457862854    <-> 7.73618555069   || 1
Gent            | </s>            | 1.25493013859   <-> 1.82323801517   || 0
<s>             | kunst           | 9.24930667877   <-> 8.27165126801   || 1
kunst           | </s>            | 3.02283334732   <-> 2.58398413658   || 1
<s>             | Gent            | 8.66171360016   <-> 6.03052616119   || 1
Gent            | eist            | 8.15273666382   <-> 7.52883625031   || 1
eist            | almaar          | 9.97950077057   <-> 10.1895990372   || 0
almaar          | nadrukkelijker  | 7.88429784775   <-> 5.44199943542   || 1
nadrukkelijker  | de              | 2.72859454155   <-> 3.04115128517   || 0
de              | blauwe          | 8.69390392303   <-> 8.94325065613   || 0
blauwe          | wimpel          | 13.4757041931   <-> 12.2700901031   || 1
wimpel          | van             | 2.28332829475   <-> 2.1874871254    || 1
van             | nationale       | 8.92830944061   <-> 8.94716644287   || 0
nationale       | <UNK>           | 1.59974348545   <-> 1.46109843254   || 1
<UNK>           | op              | 3.91377425194   <-> 4.25415325165   || 0
op              | </s>            | 2.32995271683   <-> 2.45256757736   || 0
<s>             | met             | 4.61892843246   <-> 4.81817150116   || 0
met             | grote           | 6.17133998871   <-> 6.21623659134   || 0
grote           | regelmaat       | 8.46382236481   <-> 6.61697149277   || 1
regelmaat       | maakt           | 6.80630588531   <-> 6.83973169327   || 0
maakt           | de              | 1.67032253742   <-> 1.386297822     || 1
de              | fine            | 11.8489580154   <-> 11.6808853149   || 1
fine            | fleur           | 11.0502376556   <-> 8.81179523468   || 1
fleur           | van             | 0.726891279221  <-> 0.629297971725  || 1
van             | de              | 1.14042508602   <-> 1.02082693577   || 1
de              | elektronische   | 8.63007736206   <-> 7.95283889771   || 1
elektronische   | muziek          | 5.57878494263   <-> 4.5833234787    || 1
muziek          | haar            | 6.1437625885    <-> 6.48565864563   || 0
haar            | opwachting      | 7.03854370117   <-> 5.4705991745    || 1
opwachting      | tijdens         | 7.03647947311   <-> 7.53411340714   || 0
tijdens         | </s>            | 3.79419231415   <-> 4.33101797104   || 0
<s>             | I               | 8.88599300385   <-> 8.40301990509   || 1
I               | love            | 6.39120674133   <-> 4.62504768372   || 1
love            | techno          | 9.47484397888   <-> 8.52833366394   || 1
techno          | de              | 4.91564750671   <-> 5.16081571579   || 0
de              | </s>            | 8.18733787537   <-> 8.547996521     || 0
<s>             | ten             | 7.64994239807   <-> 7.87592887878   || 0
ten             | days            | 10.6127347946   <-> 14.4101696014   || 0
days            | of              | 5.32475852966   <-> 6.53930902481   || 0
of              | techno          | 9.30254364014   <-> 9.73396015167   || 0
techno          | </s>            | 1.89926028252   <-> 2.9081633091    || 0
<s>             | de              | 2.16382431984   <-> 2.10768508911   || 1
de              | snelle          | 8.40155792236   <-> 8.38781738281   || 1
snelle          | evoluties       | 9.84527683258   <-> 9.35547065735   || 1
evoluties       | in              | 2.7462348938    <-> 2.80798578262   || 0
in              | de              | 1.1714631319    <-> 1.12632393837   || 1
de              | wereld          | 4.90128040314   <-> 5.27561092377   || 0
wereld          | van             | 2.47594475746   <-> 2.02682065964   || 1
van             | <UNK>           | 1.9765150547    <-> 2.3677687645    || 0
<UNK>           | en              | 2.13506340981   <-> 2.2662832737    || 0
en              | beats           | 9.26160621643   <-> 10.6428146362   || 0
beats           | dwingen         | 11.2180233002   <-> 10.1264352798   || 1
dwingen         | </s>            | 4.33466291428   <-> 4.19534873962   || 1
<s>             | ten             | 7.54525470734   <-> 7.16287994385   || 1
ten             | days            | 10.5031204224   <-> 14.6385383606   || 0
days            | tot             | 6.51451063156   <-> 8.21365070343   || 0
tot             | een             | 2.36291861534   <-> 2.4932205677    || 0
een             | herschikking    | 11.7264194489   <-> 10.0859937668   || 1
herschikking    | </s>            | 2.9717874527    <-> 5.08792304993   || 0
<s>             | techno          | 10.2885913849   <-> 11.8587341309   || 0
techno          | is              | 3.31044626236   <-> 2.42392444611   || 1
is              | immers          | 6.55474758148   <-> 5.86568164825   || 1
immers          | niet            | 3.27716350555   <-> 2.65061092377   || 1
niet            | langer          | 4.71513271332   <-> 3.92976760864   || 1
langer          | afdoende        | 11.4950637817   <-> 10.5004138947   || 1
afdoende        | om              | 4.12248802185   <-> 4.26275634766   || 0
om              | de              | 1.89966857433   <-> 1.5302464962    || 1
de              | brede           | 8.36745452881   <-> 8.91818237305   || 0
brede           | waaier          | 8.09430217743   <-> 8.05545711517   || 1
waaier          | van             | 0.829958021641  <-> 0.853174328804  || 0
van             | stijlen         | 8.55528354645   <-> 9.1142911911    || 0
stijlen         | en              | 2.03038167953   <-> 1.84190630913   || 1
en              | <UNK>           | 2.02335166931   <-> 1.73359763622   || 1
<UNK>           | te              | 1.29019260406   <-> 1.26138353348   || 1
te              | dragen          | 5.10461711884   <-> 5.67352628708   || 0
dragen          | </s>            | 0.353598058224  <-> 0.3597266078    || 0
<s>             | daarom          | 6.22590351105   <-> 5.68703269958   || 1
daarom          | heet            | 6.87592029572   <-> 7.69286727905   || 0
heet            | het             | 2.02541685104   <-> 1.87211620808   || 1
het             | tiendaagse      | 13.1822490692   <-> 12.9391708374   || 1
tiendaagse      | festival        | 7.3399066925    <-> 6.55092048645   || 1
festival        | in              | 2.78015708923   <-> 2.68214988708   || 1
in              | de              | 1.36605167389   <-> 1.65110766888   || 0
de              | marge           | 7.68794536591   <-> 6.91344642639   || 1
marge           | van             | 0.468666493893  <-> 0.295158445835  || 1
van             | de              | 1.00219523907   <-> 1.10433495045   || 0
de              | Gentse          | 6.2143034935    <-> 6.08909702301   || 1
Gentse          | </s>            | 6.96444654465   <-> 8.61289024353   || 0
<s>             | feesten         | 11.5917205811   <-> 11.1456260681   || 1
feesten         | voortaan        | 9.88048171997   <-> 8.88096618652   || 1
voortaan        | </s>            | 3.23213505745   <-> 2.69191789627   || 1
<s>             | ten             | 7.60833454132   <-> 7.34210968018   || 1
ten             | days            | 10.696723938    <-> 15.1340579987   || 0
days            | off             | 10.5071926117   <-> 10.9127845764   || 0
off             | </s>            | 3.73931312561   <-> 4.10872650146   || 0
<s>             | de              | 2.2321138382    <-> 1.85528504848   || 1
de              | hoorn           | 9.80308818817   <-> 11.2514533997   || 0
hoorn           | des             | 7.17675065994   <-> 6.22030878067   || 1
des             | <UNK>           | 1.28812861443   <-> 1.19597351551   || 1
<UNK>           | zorgt           | 7.68891954422   <-> 7.28731393814   || 1
zorgt           | er              | 4.02474403381   <-> 3.87216210365   || 1
er              | ook             | 3.29092168808   <-> 2.38326215744   || 1
ook             | voor            | 3.37933778763   <-> 1.79875302315   || 1
voor            | dat             | 3.75193595886   <-> 3.45655179024   || 1
dat             | een             | 3.03767585754   <-> 3.19946813583   || 0
een             | aantal          | 5.3279299736    <-> 4.34367799759   || 1
aantal          | avonden         | 8.69339179993   <-> 9.11213684082   || 0
avonden         | een             | 2.89647340775   <-> 3.29309558868   || 0
een             | specifiek       | 9.12524414062   <-> 7.9385099411    || 1
specifiek       | etiket          | 8.43370437622   <-> 8.3348941803    || 1
etiket          | krijgt          | 6.39284944534   <-> 5.34103059769   || 1
krijgt          | opgekleefd      | 13.0649442673   <-> 12.833363533    || 1
opgekleefd      | </s>            | 0.981429457664  <-> 0.73642873764   || 1
<s>             | zo              | 5.0537109375    <-> 5.39573955536   || 0
zo              | zijn            | 3.38803362846   <-> 4.03758907318   || 0
zijn            | er              | 1.96477603912   <-> 1.32860767841   || 1
er              | <UNK>           | 3.67995429039   <-> 3.89422512054   || 0
<UNK>           | rond            | 6.86623096466   <-> 6.63485860825   || 1
rond            | de              | 1.43057966232   <-> 1.5275914669    || 0
de              | Britse          | 7.36020278931   <-> 6.83070278168   || 1
Britse          | DJ              | 8.9269733429    <-> 9.39193153381   || 0
DJ              | producer        | 9.3927936554    <-> 10.6585960388   || 0
producer        | Andrew          | 7.95253276825   <-> 6.86134529114   || 1
Andrew          | <UNK>           | 1.34185922146   <-> 1.08566188812   || 1
<UNK>           | en              | 2.78676342964   <-> 2.55992078781   || 1
en              | het             | 3.34787940979   <-> 3.2733001709    || 1
het             | Planet          | 12.4315071106   <-> 13.6447982788   || 0
Planet          | <UNK>           | 1.41557645798   <-> 1.21183991432   || 1
<UNK>           | van             | 2.45298624039   <-> 2.69224977493   || 0
van             | <UNK>           | 1.91111683846   <-> 1.98857116699   || 0
<UNK>           | Carl            | 9.41298103333   <-> 9.80508708954   || 0
Carl            | Craig           | 9.07655715942   <-> 8.51984596252   || 1
Craig           | </s>            | 2.66170024872   <-> 1.11127960682   || 1
<s>             | de              | 1.93006515503   <-> 2.00605106354   || 0
de              | nieuwe          | 5.04132652283   <-> 4.59805107117   || 1
nieuwe          | Franse          | 6.63556957245   <-> 6.23438310623   || 1
Franse          | lichting        | 9.47232627869   <-> 10.2430639267   || 0
lichting        | komt            | 7.2183713913    <-> 6.81153726578   || 1
komt            | met             | 3.34148812294   <-> 3.81509447098   || 0
met             | een             | 1.65209627151   <-> 1.71116411686   || 0
een             | busje           | 10.111369133    <-> 10.0232887268   || 1
busje           | en              | 3.1855340004    <-> 3.13159155846   || 1
en              | schuift         | 10.3344488144   <-> 9.77516841888   || 1
schuift         | met             | 4.39025020599   <-> 4.39683198929   || 0
met             | de              | 1.73695957661   <-> 1.60900533199   || 1
de              | nodige          | 7.40931224823   <-> 5.17346429825   || 1
nodige          | fierheid        | 11.0954961777   <-> 10.6945886612   || 1
fierheid        | <UNK>           | 3.92081451416   <-> 4.02529239655   || 0
<UNK>           | naar            | 5.39989757538   <-> 4.4385266304    || 1
naar            | voren           | 6.2048664093    <-> 4.93890571594   || 1
voren           | </s>            | 0.886629343033  <-> 0.853351712227  || 1
<s>             | het             | 2.74325728416   <-> 2.73039531708   || 1
het             | trio            | 7.07755756378   <-> 6.87439584732   || 1
trio            | mengt           | 10.0714683533   <-> 9.74057865143   || 1
mengt           | elektro         | 12.9489173889   <-> 13.7078943253   || 0
elektro         | disco           | 11.3140716553   <-> 11.4923725128   || 0
disco           | house           | 9.86956310272   <-> 9.29647636414   || 1
house           | techno          | 9.66537094116   <-> 8.01159858704   || 1
techno          | en              | 1.66057550907   <-> 0.988113045692  || 1
en              | hiphop          | 7.52738857269   <-> 6.81376361847   || 1
hiphop          | en              | 1.91227781773   <-> 2.18540668488   || 0
en              | meldt           | 11.2941303253   <-> 11.0562782288   || 1
meldt           | zich            | 4.2892203331    <-> 5.31771659851   || 0
zich            | als             | 4.3462934494    <-> 4.71683979034   || 0
als             | de              | 2.01067590714   <-> 2.142588377     || 0
de              | opvolger        | 9.3393497467    <-> 8.0748796463    || 1
opvolger        | van             | 0.652035593987  <-> 0.520992517471  || 1
van             | Daft            | 11.2944364548   <-> 10.7748851776   || 1
Daft            | Punk            | 10.7769880295   <-> 7.65045404434   || 1
Punk            | en              | 2.48658370972   <-> 2.43031692505   || 1
en              | Cassius         | 11.9835634232   <-> 12.1344747543   || 0
Cassius         | </s>            | 2.54241275787   <-> 3.62187814713   || 0
<s>             | een             | 3.38843274117   <-> 3.51782369614   || 0
een             | andere          | 5.12948608398   <-> 4.90944862366   || 1
andere          | <UNK>           | 1.82792520523   <-> 1.90076005459   || 0
<UNK>           | is              | 2.82576918602   <-> 2.37878894806   || 1
is              | de              | 2.74805784225   <-> 2.76307320595   || 0
de              | markante        | 11.5626049042   <-> 11.7576122284   || 0
markante        | Britse          | 7.68575954437   <-> 7.58732795715   || 1
Britse          | DJ              | 8.38958358765   <-> 7.9211268425    || 1
DJ              | <UNK>           | 1.49609649181   <-> 1.74361896515   || 0
<UNK>           | <UNK>           | 1.85281002522   <-> 1.56610035896   || 1
<UNK>           | </s>            | 1.69991397858   <-> 1.18238830566   || 1
<s>             | sinds           | 6.60194969177   <-> 6.34550380707   || 1
sinds           | het             | 2.42124986649   <-> 2.36931443214   || 1
het             | midden          | 5.63176345825   <-> 5.21722459793   || 1
midden          | van             | 0.276368886232  <-> 0.418067246675  || 0
van             | de              | 0.997200965881  <-> 0.788577795029  || 1
de              | jaren           | 3.69058036804   <-> 1.4921425581    || 1
jaren           | zeventig        | 2.28923678398   <-> 1.51456344128   || 1
zeventig        | is              | 2.6406929493    <-> 2.75107526779   || 0
is              | de              | 1.65101516247   <-> 1.48397982121   || 1
de              | voormalige      | 7.61112689972   <-> 6.80742359161   || 1
voormalige      | Schotse         | 9.03543758392   <-> 8.59826946259   || 1
Schotse         | <UNK>           | 1.09634590149   <-> 1.81834554672   || 0
<UNK>           | op              | 4.30010223389   <-> 5.0053653717    || 0
op              | zoek            | 4.05105304718   <-> 3.10821390152   || 1
zoek            | naar            | 0.558078169823  <-> 0.386390388012  || 1
naar            | sterke          | 9.7142534256    <-> 8.94761657715   || 1
sterke          | maar            | 8.72613143921   <-> 8.51268005371   || 1
maar            | <UNK>           | 3.06208825111   <-> 2.6565155983    || 1
<UNK>           | funk            | 9.66589927673   <-> 10.7236633301   || 0
funk            | en              | 2.14585232735   <-> 1.53704178333   || 1
en              | <UNK>           | 1.62777543068   <-> 1.25489425659   || 1
<UNK>           | </s>            | 1.27384376526   <-> 1.11842632294   || 1
<s>             | door            | 5.73524713516   <-> 5.44743204117   || 1
door            | de              | 1.26953136921   <-> 1.27485096455   || 0
de              | zaak            | 7.71196269989   <-> 8.43312168121   || 0
zaak            | exclusief       | 11.7863540649   <-> 12.2021007538   || 0
exclusief       | te              | 4.78653812408   <-> 3.15894508362   || 1
te              | houden          | 5.19065237045   <-> 4.86760902405   || 1
houden          | heeft           | 3.71664357185   <-> 3.63150954247   || 1
heeft           | hij             | 2.14580726624   <-> 2.1233124733    || 1
hij             | in              | 3.4418592453    <-> 3.67547512054   || 0
in              | eigen           | 5.85366916656   <-> 5.49367952347   || 1
eigen           | land            | 3.90593743324   <-> 2.23960065842   || 1
land            | een             | 1.89662408829   <-> 2.17792201042   || 0
een             | fanatiek        | 10.8602371216   <-> 11.4890880585   || 0
fanatiek        | publiek         | 5.48698043823   <-> 6.34371089935   || 0
publiek         | opgebouwd       | 5.97544670105   <-> 6.22683811188   || 0
opgebouwd       | </s>            | 1.00631725788   <-> 1.01040172577   || 0
<s>             | sinds           | 6.73298883438   <-> 6.55070972443   || 1
sinds           | enkele          | 5.98626899719   <-> 5.06856679916   || 1
enkele          | jaren           | 0.991113781929  <-> 0.352699518204  || 1
jaren           | brengt          | 7.16868972778   <-> 6.71728992462   || 1
brengt          | hij             | 2.19658946991   <-> 1.29707181454   || 1
hij             | zijn            | 4.53504323959   <-> 3.92727518082   || 1
zijn            | schatten        | 11.1028738022   <-> 12.8932495117   || 0
schatten        | uit             | 3.92105221748   <-> 3.51786828041   || 1
uit             | op              | 4.58457994461   <-> 4.46852445602   || 1
op              | de              | 1.343272686     <-> 1.40469574928   || 0
de              | <UNK>           | 1.82418978214   <-> 2.15736794472   || 0
<UNK>           | </s>            | 1.37742400169   <-> 1.40473020077   || 0
<s>             | <UNK>           | 2.90319156647   <-> 2.98493552208   || 0
<UNK>           | deep            | 11.7979507446   <-> 12.2307796478   || 0
deep            | funk            | 9.03681373596   <-> 9.00317764282   || 1
funk            | en              | 2.5325088501    <-> 1.90666508675   || 1
en              | wisselt         | 12.3073968887   <-> 11.7652235031   || 1
wisselt         | hij             | 5.55945062637   <-> 3.86102366447   || 1
hij             | druk            | 10.4773387909   <-> 9.7976770401    || 1
druk            | plaatjes        | 13.6606998444   <-> 13.5595207214   || 1
plaatjes        | met             | 2.7019572258    <-> 3.35894966125   || 0
met             | DJ              | 8.81758880615   <-> 10.4235973358   || 0
DJ              | Shadow          | 10.7859716415   <-> 9.56277561188   || 1
Shadow          | </s>            | 1.60854578018   <-> 1.61800587177   || 0
<s>             | opmerkelijk     | 8.8634929657    <-> 8.42154502869   || 1
opmerkelijk     | is              | 1.73115408421   <-> 1.25607907772   || 1
is              | het             | 2.77420639992   <-> 2.53425908089   || 1
het             | zware           | 9.46307659149   <-> 8.4992980957    || 1
zware           | accent          | 7.48690605164   <-> 7.28542137146   || 1
accent          | dat             | 3.82050037384   <-> 3.23943996429   || 1
dat             | gelegd          | 14.3861255646   <-> 14.7996683121   || 0
gelegd          | wordt           | 2.90095376968   <-> 2.26550316811   || 1
wordt           | op              | 2.88167095184   <-> 2.60372114182   || 1
op              | drum'n'bass     | 11.6597585678   <-> 12.8016347885   || 0
drum'n'bass     | </s>            | 1.07568025589   <-> 1.09496569633   || 0
<s>             | de              | 1.96400415897   <-> 1.88788616657   || 1
de              | snelle          | 8.33245277405   <-> 7.90740966797   || 1
snelle          | en              | 5.29965782166   <-> 5.26648855209   || 1
en              | technisch       | 9.37997817993   <-> 7.30668830872   || 1
technisch       | behoorlijk      | 10.6847667694   <-> 10.1100215912   || 1
behoorlijk      | ingenieuze      | 10.3194904327   <-> 10.6854333878   || 0
ingenieuze      | <UNK>           | 1.50215816498   <-> 1.94104373455   || 0
<UNK>           | was             | 4.26289463043   <-> 5.0127863884    || 0
was             | immers          | 6.20009422302   <-> 5.64018058777   || 1
immers          | al              | 4.16262102127   <-> 3.56084012985   || 1
al              | opgegeven       | 11.0330963135   <-> 10.575717926    || 1
opgegeven       | </s>            | 0.826590061188  <-> 0.578672766685  || 1
<s>             | de              | 1.9009950161    <-> 1.87713050842   || 1
de              | mislukte        | 10.4521627426   <-> 9.62134742737   || 1
mislukte        | poging          | 7.86231327057   <-> 7.29818868637   || 1
poging          | om              | 2.0611140728    <-> 1.93957066536   || 1
om              | het             | 2.56290197372   <-> 2.60528373718   || 0
het             | brede           | 8.19889068604   <-> 9.54728507996   || 0
brede           | publiek         | 3.8225839138    <-> 4.28402423859   || 0
publiek         | te              | 1.31620025635   <-> 1.22081065178   || 1
te              | bereiken        | 5.30295848846   <-> 4.12757301331   || 1
bereiken        | is              | 1.96280145645   <-> 2.42267107964   || 0
is              | echter          | 6.15384483337   <-> 4.93456077576   || 1
echter          | een             | 2.24948310852   <-> 2.55756855011   || 0
een             | creatieve       | 8.48714256287   <-> 8.7075510025    || 0
creatieve       | zegen           | 9.59979248047   <-> 8.29571723938   || 1
zegen           | gebleken        | 10.4162683487   <-> 8.3146686554    || 1
gebleken        | </s>            | 1.01834952831   <-> 0.458943426609  || 1
<s>             | in              | 3.24750971794   <-> 3.37530827522   || 0
in              | de              | 1.16724169254   <-> 1.14662277699   || 1
de              | ondergrond      | 9.10401725769   <-> 8.85438919067   || 1
ondergrond      | <UNK>           | 3.73309803009   <-> 4.20763683319   || 0
<UNK>           | en              | 4.28903150558   <-> 3.56089377403   || 1
en              | <UNK>           | 2.24269151688   <-> 1.89883673191   || 1
<UNK>           | het             | 4.35324764252   <-> 4.6110906601    || 0
het             | als             | 6.47187614441   <-> 7.35834312439   || 0
als             | nooit           | 7.29670524597   <-> 8.22794246674   || 0
nooit           | tevoren         | 8.6166229248    <-> 6.95941019058   || 1
tevoren         | en              | 3.89541101456   <-> 3.21498727798   || 1
en              | wordt           | 6.1343960762    <-> 5.28017950058   || 1
wordt           | een             | 2.73327088356   <-> 2.74469947815   || 0
een             | nieuwe          | 4.73445415497   <-> 4.142786026     || 1
nieuwe          | sprong          | 9.40028476715   <-> 8.4407787323    || 1
sprong          | voorwaarts      | 7.90311765671   <-> 5.19017219543   || 1
voorwaarts      | voorbereid      | 8.70467853546   <-> 8.93000030518   || 0
voorbereid      | </s>            | 0.693974733353  <-> 0.451867878437  || 1
<s>             | ten             | 7.35170936584   <-> 7.11368274689   || 1
ten             | days            | 11.1419687271   <-> 14.6565265656   || 0
days            | off             | 10.9951477051   <-> 11.1754579544   || 0
off             | gaat            | 6.56465244293   <-> 6.53764104843   || 1
gaat            | evenveel        | 9.77502155304   <-> 10.6086845398   || 0
evenveel        | naar            | 4.56360816956   <-> 4.2389421463    || 1
naar            | toen            | 8.89482784271   <-> 10.4575777054   || 0
toen            | als             | 5.83646392822   <-> 4.65914773941   || 1
als             | naar            | 8.34681987762   <-> 7.17769765854   || 1
naar            | straks          | 11.5806722641   <-> 12.5265140533   || 0
straks          | </s>            | 4.22463798523   <-> 4.135866642     || 1
<s>             | hoewel          | 7.0067987442    <-> 6.93968486786   || 1
hoewel          | de              | 1.80626237392   <-> 1.47962653637   || 1
de              | elektronica     | 9.8646364212    <-> 10.4979314804   || 0
elektronica     | wordt           | 4.8603849411    <-> 4.81823444366   || 1
wordt           | voorgesteld     | 6.18542385101   <-> 5.26422548294   || 1
voorgesteld     | als             | 4.52485466003   <-> 3.41765475273   || 1
als             | een             | 2.53906965256   <-> 2.253241539     || 1
een             | snoepje         | 10.1656341553   <-> 10.1565656662   || 1
snoepje         | van             | 2.21884965897   <-> 2.62858867645   || 0
van             | hier            | 8.0804233551    <-> 9.15293502808   || 0
hier            | en              | 3.4150352478    <-> 3.61986351013   || 0
en              | nu              | 5.9785118103    <-> 5.16855287552   || 1
nu              | heeft           | 5.45593833923   <-> 4.84523963928   || 1
heeft           | ze              | 2.68023538589   <-> 3.38190627098   || 0
ze              | een             | 2.08176827431   <-> 1.9068390131    || 1
een             | lange           | 6.29585599899   <-> 5.72666454315   || 1
lange           | geschiedenis    | 7.05782556534   <-> 6.54866361618   || 1
geschiedenis    | </s>            | 2.24586296082   <-> 2.58148288727   || 0
<s>             | de              | 2.02287578583   <-> 2.03529405594   || 0
de              | grote           | 5.2920665741    <-> 5.37223863602   || 0
grote           | aandacht        | 7.00022506714   <-> 6.66585826874   || 1
aandacht        | zorgt           | 6.92231321335   <-> 8.02504444122   || 0
zorgt           | ervoor          | 3.67337226868   <-> 2.67005157471   || 1
ervoor          | dat             | 0.691851437092  <-> 0.46015381813   || 1
dat             | de              | 1.58858704567   <-> 1.36112391949   || 1
de              | pioniers        | 9.93881797791   <-> 10.4798583984   || 0
pioniers        | mogen           | 9.09708499908   <-> 9.10233879089   || 0
