input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
haar            | vader           | 3.84456825256   <-> 3.28586554527   || 1
vader           | tweede          | 9.65188980103   <-> 9.2065076828    || 1
tweede          | was             | 4.51839256287   <-> 3.68443965912   || 1
was             | geworden        | 6.01367139816   <-> 5.22254657745   || 1
geworden        | in              | 3.3927989006    <-> 3.38197278976   || 1
in              | de              | 1.12737953663   <-> 1.29200196266   || 0
de              | US              | 9.17952728271   <-> 7.71174049377   || 1
US              | Open            | 1.21020889282   <-> 0.178824543953  || 1
Open            | </s>            | 1.18501877785   <-> 0.877722740173  || 1
<s>             | twee            | 5.71243667603   <-> 6.29043769836   || 0
twee            | weken           | 2.87791728973   <-> 3.54966211319   || 0
weken           | voor            | 5.49833440781   <-> 5.57207870483   || 0
voor            | de              | 1.07413554192   <-> 1.43258321285   || 0
de              | dokters         | 9.59841156006   <-> 8.69886016846   || 1
dokters         | hadden          | 5.04138660431   <-> 4.16831207275   || 1
hadden          | voorspeld       | 11.2751245499   <-> 9.97247028351   || 1
voorspeld       | </s>            | 1.91601967812   <-> 2.38910627365   || 0
<s>             | u               | 7.16249895096   <-> 7.72926712036   || 0
u               | begrijpt        | 6.96430969238   <-> 7.05641889572   || 0
begrijpt        | heren           | 14.2916154861   <-> 12.9286270142   || 1
heren           | sprak           | 11.0587863922   <-> 10.1954269409   || 1
sprak           | de              | 2.48577713966   <-> 2.04486489296   || 1
de              | trotse          | 9.13238048553   <-> 8.76864337921   || 1
trotse          | vader           | 6.25248193741   <-> 4.74363803864   || 1
vader           | tot             | 5.89227437973   <-> 6.33703422546   || 0
tot             | de              | 2.10622644424   <-> 1.85058474541   || 1
de              | verslaggevers   | 11.2891731262   <-> 11.4151210785   || 0
verslaggevers   | die             | 2.73981666565   <-> 2.74306988716   || 0
die             | hem             | 3.76485919952   <-> 4.55696582794   || 0
hem             | tot             | 5.60219955444   <-> 5.26925039291   || 1
tot             | in              | 4.4972820282    <-> 4.69244861603   || 0
in              | het             | 2.05546069145   <-> 2.13351869583   || 0
het             | moederhuis      | 11.0226535797   <-> 10.5412349701   || 1
moederhuis      | waren           | 5.73955631256   <-> 4.45069885254   || 1
waren           | gevolgd         | 7.90723133087   <-> 7.13039207458   || 1
gevolgd         | dat             | 7.22231578827   <-> 7.1530175209    || 1
dat             | ik              | 2.95058298111   <-> 3.57058572769   || 0
ik              | in              | 3.41448163986   <-> 3.25815868378   || 1
in              | deze            | 4.82460737228   <-> 5.07906770706   || 0
deze            | omstandigheden  | 6.13669776917   <-> 4.16039419174   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.71285390854   || 0
niet            | veel            | 4.31454849243   <-> 5.69627285004   || 0
veel            | zin             | 5.62351417542   <-> 7.09574508667   || 0
zin             | had             | 3.00212931633   <-> 1.29635083675   || 1
had             | om              | 2.94097900391   <-> 2.79238057137   || 1
om              | een             | 2.37722849846   <-> 2.38201999664   || 0
een             | <UNK>           | 1.94490993023   <-> 2.25881505013   || 0
<UNK>           | af              | 4.83900117874   <-> 4.97839593887   || 0
af              | te              | 0.191646739841  <-> 0.0606633275747 || 1
te              | dwingen         | 5.40725517273   <-> 3.24710607529   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.507075071335  || 1
<s>             | een             | 3.55916833878   <-> 3.55901908875   || 1
een             | <UNK>           | 1.79831528664   <-> 2.16128897667   || 0
<UNK>           | in              | 3.18404889107   <-> 3.17547702789   || 1
in              | de              | 1.18761634827   <-> 1.31448757648   || 0
de              | US              | 9.68999671936   <-> 7.89732265472   || 1
US              | Open            | 1.54856288433   <-> 0.217025458813  || 1
Open            | betekent        | 8.56693744659   <-> 9.02851390839   || 0
betekent        | een             | 3.0884885788    <-> 2.5070567131    || 1
een             | extra           | 7.4422492981    <-> 8.0594329834    || 0
extra           | rondje          | 9.42015647888   <-> 10.2552976608   || 0
rondje          | van             | 3.89423847198   <-> 3.55411243439   || 1
van             | achttien        | 7.67991161346   <-> 7.9152469635    || 0
achttien        | holes           | 12.5654220581   <-> 10.689904213    || 1
holes           | op              | 3.61598992348   <-> 3.95755553246   || 0
op              | maandag         | 8.1324224472    <-> 7.61962127686   || 1
maandag         | </s>            | 0.988341033459  <-> 0.906802773476  || 1
<s>             | de              | 1.9801145792    <-> 2.04050707817   || 0
de              | eerste          | 3.86102986336   <-> 3.8567070961    || 1
eerste          | twee            | 4.86301898956   <-> 4.54088973999   || 1
twee            | majors          | 12.3134117126   <-> 12.126745224    || 1
majors          | van             | 2.88237428665   <-> 2.35996341705   || 1
van             | het             | 2.3485789299    <-> 2.06137895584   || 1
het             | seizoen         | 5.53348588943   <-> 5.91907453537   || 0
seizoen         | hebben          | 3.97832226753   <-> 3.84798669815   || 1
hebben          | we              | 4.05107879639   <-> 4.47831535339   || 0
we              | dus             | 6.34724521637   <-> 6.2676987648    || 1
dus             | gehad           | 7.39632034302   <-> 7.10557174683   || 1
gehad           | </s>            | 1.22218453884   <-> 0.838030993938  || 1
<s>             | dit             | 5.45897293091   <-> 5.36528587341   || 1
dit             | weekend         | 4.24001932144   <-> 4.00478553772   || 1
weekend         | staat           | 5.25172710419   <-> 5.63669586182   || 0
staat           | de              | 2.08540248871   <-> 1.72852039337   || 1
de              | derde           | 5.83497047424   <-> 6.06570625305   || 0
derde           | van             | 3.02879714966   <-> 3.11395001411   || 0
van             | de              | 0.925002455711  <-> 0.92497164011   || 1
de              | vier            | 5.53453826904   <-> 5.75852012634   || 0
vier            | op              | 6.08304834366   <-> 4.95219135284   || 1
op              | het             | 2.35176253319   <-> 2.2914583683    || 1
het             | programma       | 4.52687931061   <-> 4.39759635925   || 1
programma       | </s>            | 1.21130418777   <-> 1.46896994114   || 0
<s>             | de              | 2.00391411781   <-> 1.9637260437    || 1
de              | British         | 10.8079156876   <-> 11.6788492203   || 0
British         | Open            | 5.4313249588    <-> 2.70137453079   || 1
Open            | </s>            | 3.63647556305   <-> 4.62463665009   || 0
<s>             | gespeeld        | 11.7954416275   <-> 11.0293502808   || 1
gespeeld        | op              | 3.43091917038   <-> 2.82405972481   || 1
op              | de              | 1.34651505947   <-> 1.34293699265   || 1
de              | authentieke     | 10.5632505417   <-> 10.7343902588   || 0
authentieke     | <UNK>           | 1.51115739346   <-> 1.54000115395   || 0
<UNK>           | van             | 2.16690826416   <-> 2.01707315445   || 1
van             | <UNK>           | 2.12115097046   <-> 2.58851027489   || 0
<UNK>           | aan             | 6.08774662018   <-> 6.0962228775    || 0
aan             | de              | 1.08539581299   <-> 0.979152023792  || 1
de              | Schotse         | 8.12835407257   <-> 8.02018356323   || 1
Schotse         | kust            | 5.11624145508   <-> 3.82726049423   || 1
kust            | </s>            | 1.26672172546   <-> 0.886913895607  || 1
<s>             | een             | 3.4842312336    <-> 3.55568742752   || 0
een             | baan            | 8.51996517181   <-> 8.36185646057   || 1
baan            | waar            | 5.72861385345   <-> 5.5549030304    || 1
waar            | ze              | 3.59758996964   <-> 3.4254283905    || 1
ze              | geen            | 4.52241420746   <-> 4.37797451019   || 1
geen            | enkele          | 4.15759658813   <-> 3.57091403008   || 1
enkele          | kunstmatige     | 11.3046483994   <-> 11.4113368988   || 0
kunstmatige     | hindernis       | 9.20933151245   <-> 8.48100090027   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.54487800598   || 1
hebben          | gelegd          | 6.57286453247   <-> 6.76484489441   || 0
gelegd          | omdat           | 5.82122135162   <-> 6.41472864151   || 0
omdat           | er              | 3.30686211586   <-> 2.96968078613   || 1
er              | een             | 2.03215050697   <-> 2.0711619854    || 0
een             | natuurlijke     | 8.63272666931   <-> 8.86821651459   || 0
natuurlijke     | hindernis       | 8.82058906555   <-> 8.24826431274   || 1
hindernis       | is              | 2.34723234177   <-> 2.05815863609   || 1
is              | die             | 4.69205760956   <-> 4.42831134796   || 1
die             | al              | 4.72787666321   <-> 4.46074867249   || 1
al              | haar            | 6.27339172363   <-> 5.49471759796   || 1
haar            | kunstmatige     | 11.1279430389   <-> 11.3343219757   || 0
kunstmatige     | collega's       | 7.32447433472   <-> 6.74939680099   || 1
collega's       | overbodig       | 10.7160491943   <-> 9.84978485107   || 1
overbodig       | maakt           | 4.82308483124   <-> 4.638651371     || 1
maakt           | </s>            | 0.508046746254  <-> 0.39058983326   || 1
<s>             | de              | 1.81554150581   <-> 1.85476076603   || 0
de              | felle           | 9.7167673111    <-> 9.86498355865   || 0
felle           | <UNK>           | 1.95081067085   <-> 1.8407446146    || 1
<UNK>           | </s>            | 4.82036161423   <-> 3.84443712234   || 1
<s>             | verder          | 7.81018686295   <-> 7.06365919113   || 1
verder          | maaien          | 12.882932663    <-> 12.7620000839   || 1
maaien          | ze              | 3.17893409729   <-> 2.88219118118   || 1
ze              | het             | 3.59674668312   <-> 3.391518116     || 1
het             | gras            | 8.10857200623   <-> 7.39274501801   || 1
gras            | één           | 8.0431137085    <-> 8.38742733002   || 0
één           | keer            | 3.38870716095   <-> 3.25422811508   || 1
keer            | per             | 4.96728897095   <-> 4.77961015701   || 1
per             | jaar            | 1.97182166576   <-> 2.39205098152   || 0
jaar            | en              | 3.26977491379   <-> 3.68029117584   || 0
