input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
eerste          | vervolgens      | 13.5569877625   <-> 12.6335086823   || 1
vervolgens      | tegen           | 5.21737861633   <-> 5.57117843628   || 0
tegen           | zijn            | 3.6461353302    <-> 3.64125013351   || 1
zijn            | tweede          | 5.37835216522   <-> 5.79616165161   || 0
tweede          | en              | 4.67733097076   <-> 4.37045764923   || 1
en              | tenslotte       | 9.97812747955   <-> 10.1831598282   || 0
tenslotte       | tegen           | 6.05543708801   <-> 6.34482383728   || 0
tegen           | zijn            | 3.7059879303    <-> 3.47260951996   || 1
zijn            | derde           | 5.71047115326   <-> 6.21344852448   || 0
derde           | echtgenote      | 8.17207527161   <-> 7.89984989166   || 1
echtgenote      | volgde          | 9.13823795319   <-> 10.6361436844   || 0
volgde          | een             | 3.28590488434   <-> 2.81023931503   || 1
een             | <UNK>           | 1.66836202145   <-> 2.05856657028   || 0
<UNK>           | in              | 2.78159093857   <-> 2.75069093704   || 1
in              | de              | 1.26181769371   <-> 1.2940568924    || 0
de              | Betty           | 13.7986850739   <-> 13.8233757019   || 0
Betty           | Ford            | 9.18842029572   <-> 9.30015563965   || 0
Ford            | kliniek         | 14.2404327393   <-> 15.1971721649   || 0
kliniek         | zwoer           | 12.6362514496   <-> 13.5250778198   || 0
zwoer           | de              | 1.95614600182   <-> 1.98645079136   || 0
de              | drank           | 10.0463199615   <-> 10.2613048553   || 0
drank           | af              | 5.50553941727   <-> 5.67666721344   || 0
af              | won             | 12.4997138977   <-> 12.8964653015   || 0
won             | de              | 1.96322226524   <-> 2.02511668205   || 0
de              | British         | 11.0173015594   <-> 11.2084960938   || 0
British         | Open            | 5.05687904358   <-> 2.16574978828   || 1
Open            | op              | 4.21776580811   <-> 3.17459249496   || 1
op              | de              | 1.32084321976   <-> 1.57365775108   || 0
de              | heilige         | 9.4435634613    <-> 9.25601959229   || 1
heilige         | Old             | 8.55185699463   <-> 8.37855052948   || 1
Old             | <UNK>           | 1.30413377285   <-> 1.46466422081   || 0
<UNK>           | van             | 2.95345568657   <-> 2.77411651611   || 1
van             | Saint           | 9.50473403931   <-> 9.98803424835   || 0
Saint           | Andrews         | 11.1828727722   <-> 10.3849906921   || 1
Andrews         | raakte          | 10.3267946243   <-> 11.7736759186   || 0
raakte          | weer            | 6.5144405365    <-> 6.63220119476   || 0
weer            | aan             | 4.21781253815   <-> 4.32580852509   || 0
aan             | de              | 1.22191214561   <-> 1.1093506813    || 1
de              | drank           | 8.86362838745   <-> 8.8833026886    || 0
drank           | gaf             | 9.90544223785   <-> 10.3845815659   || 0
gaf             | zijn            | 4.4671163559    <-> 4.41812801361   || 1
zijn            | tweede          | 6.19129753113   <-> 5.95701742172   || 1
tweede          | vrouw           | 5.22568368912   <-> 4.82308006287   || 1
vrouw           | een             | 2.97487926483   <-> 3.28922939301   || 0
een             | ongelukkige     | 8.80591583252   <-> 8.80589485168   || 1
ongelukkige     | slag            | 8.60894107819   <-> 7.99617767334   || 1
slag            | enzovoort       | 11.2220993042   <-> 10.966632843    || 1
enzovoort       | enzovoort       | 10.127248764    <-> 10.7538042068   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.212635979056  || 1
<s>             | dat             | 3.93316459656   <-> 3.79571175575   || 1
dat             | alles           | 6.72454690933   <-> 6.39639997482   || 1
alles           | was             | 2.93165683746   <-> 3.81935858727   || 0
was             | niets           | 6.38196754456   <-> 6.67740154266   || 0
niets           | vergeleken      | 9.40042877197   <-> 8.9037322998    || 1
vergeleken      | bij             | 4.97649812698   <-> 4.72852754593   || 1
bij             | wat             | 5.69116830826   <-> 5.67292785645   || 1
wat             | hem             | 5.43834686279   <-> 6.2406373024    || 0
hem             | overkwam        | 9.56339454651   <-> 9.76220321655   || 0
overkwam        | in              | 3.53434228897   <-> 3.96337413788   || 0
in              | de              | 1.16538345814   <-> 1.11262607574   || 1
de              | slotronde       | 10.0113286972   <-> 9.40842247009   || 1
slotronde       | van             | 2.22256088257   <-> 2.15463685989   || 1
van             | de              | 1.11715316772   <-> 1.3680011034    || 0
de              | US              | 8.23571109772   <-> 6.34984111786   || 1
US              | Open            | 1.21889269352   <-> 0.248827129602  || 1
Open            | op              | 4.8092918396    <-> 3.93391132355   || 1
op              | de              | 1.14171409607   <-> 1.50435459614   || 0
de              | achtste         | 6.90938949585   <-> 5.79261207581   || 1
achtste         | hole            | 12.1457967758   <-> 11.2697134018   || 1
hole            | van             | 2.66953420639   <-> 1.96404159069   || 1
van             | <UNK>           | 2.71080684662   <-> 3.34661722183   || 0
<UNK>           | </s>            | 0.826415419579  <-> 0.724092125893  || 1
<s>             | voor            | 4.61495113373   <-> 4.73502635956   || 0
voor            | </s>            | 8.17169380188   <-> 7.21213817596   || 1
<s>             | <UNK>           | 3.16845321655   <-> 3.21614193916   || 0
<UNK>           | meteen          | 8.8640460968    <-> 9.32419967651   || 0
meteen          | omgedoopt       | 10.870303154    <-> 11.0705871582   || 0
omgedoopt       | tot             | 1.80500996113   <-> 0.4887599051    || 1
tot             | <UNK>           | 2.41265249252   <-> 2.69426441193   || 0
<UNK>           | </s>            | 1.1451536417    <-> 1.53007590771   || 0
<s>             | gelukkig        | 8.3150510788    <-> 7.33943367004   || 1
gelukkig        | ligt            | 5.86955881119   <-> 5.65526819229   || 1
ligt            | die             | 5.63377094269   <-> 5.28703260422   || 1
die             | achtste         | 8.70793628693   <-> 10.0922222137   || 0
achtste         | nogal           | 9.32571315765   <-> 9.10720825195   || 1
nogal           | ver             | 6.36730575562   <-> 4.74670982361   || 1
ver             | van             | 1.46496534348   <-> 2.32068967819   || 0
van             | het             | 2.14517617226   <-> 2.08864927292   || 1
het             | <UNK>           | 1.75422859192   <-> 2.43934750557   || 0
<UNK>           | of              | 5.36715316772   <-> 4.99878883362   || 1
of              | <UNK>           | 2.57843589783   <-> 2.87883162498   || 0
